,2015,2016,2017,2018,2019,2020,2021
January,21996,21146,20323,22074,23673,21337,23334
February,18215,18642,18124,19351,19884,19682,21164
March,19078,19143,19013,19835,20636,19499,20727
April,17807,20167,19011,18823,19976,17138,20350
May,19047,19090,20048,19368,20507,17573,28642
June,18365,20335,22596,20426,20505,19234,
July,20954,23430,26298,23366,24559,20762,
August,20885,22575,23096,25679,25466,23150,
September,18901,21312,21510,22832,24311,22426,
October,19553,19884,20676,21069,22003,24507,
November,20811,18854,20079,21029,21616,21578,
December,21236,20300,21286,21674,20935,22728,
