,2018 registered deaths,2019 registered deaths,2018 estimated coverage,2019 estimated coverage,2019 estimated population (1000),2020 estimated population (1000),2021 estimated population (1000)
India,6950607,7641076,84.6,92,1332900,1347121,1361343
Andhra Pradesh,375777,401472,100,100,52221,52504,52787
Arunachal Pradesh,3860,3490,43.1,38.6,1504,1519,1533
Assam,142605,163057,65.5,74,34293,34668,35043
Bihar,213989,359349,31.2,51.6,119520,121302,123083
Chhattisgarh,177549,188211,78,81.5,28724,29109,29493
Goa,13072,13851,100,100,1540,1549,1559
Gujarat,433256,462284,100,100,67936,68862,69788
Haryana,185842,188910,100,100,28672,29077,29483
Himachal Pradesh,41833,43633,83.4,86.4,7300,7347,7394
Jammu & Kashmir,39410,44227,59.9,66.7,13203,13305,13408
Jharkhand,102729,119374,51.4,58.8,37403,37937,38471
Karnataka,483511,508584,100,100,65798,66322,66845
Kerala,258530,270567,100,100,35125,35307,35489
Madhya Pradesh,424257,493328,77.7,89.1,82232,83374,84516
Maharashtra,667900,693800,100,100,122153,123295,124437
Manipur,4476,2990,32.3,21.4,3103,3134,3165
Meghalaya,14779,18298,79.6,97.6,3224,3256,3288
Mizoram,5525,6606,100,100,1192,1204,1216
Nagaland,828,2266,11.1,30,2150,2171,2192
Odisha,328799,342947,100,100,43671,43852,44033
Punjab,213234,215045,100,100,29859,30099,30339
Rajasthan,443173,451315,98.1,98.6,77264,78273,79281
Sikkim,3386,3308,100,100,664,670,677
Tamil Nadu,574006,633897,100,100,75695,76049,76402
Telangana,136528,228294,58.5,97.2,37220,37473,37725
Tripura,29080,30419,100,100,3992,4032,4071
Uttarakhand,47894,66313,69.9,95.6,11141,11270,11399
Uttar Pradesh,906653,944596,61.6,63.3,224979,227943,230907
West Bengal,490530,551695,90.8,100,96906,97516,98125
A & N Islands,2237,2616,100,100,397,399,400
Chandigarh,23330,23592,100,100,1179,1193,1208
D & N Haveli,2174,2705,100,100,546,577,608
Daman & Diu,1169,1162,65.8,61,413,441,470
Delhi,145533,145284,100,100,19814,20193,20571
Lakshadweep,314,336,83.7,88.2,68,68,68
Puducherry,12839,13255,100,100,1504,1537,1571
