,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,,12 states
Mar 20,1635,10,44,0,1,21,15,9,0,0,120,5,74,43,3,55,1,101,241,13,0,66,302,1,0,1,0,4,1,42,93,0,124,97,0,104,7,37,,1117
Apr 20,33231,23,1359,1,42,404,59,31,0,0,3395,2,4321,296,37,559,109,464,257,9,0,2559,10196,1,12,0,0,139,7,438,2491,0,2199,941,3,2107,50,721,,21421
May 20,155779,0,2168,3,1297,3382,219,458,2,0,16329,64,12399,1752,291,1832,525,2656,772,55,0,5464,57157,69,15,0,43,1805,62,1783,6247,1,20010,1660,313,5864,850,4743,,106425
Jun 20,395044,64,11024,187,6966,6181,147,2360,213,0,67516,1244,15849,12457,622,5051,1855,12021,3173,896,0,5504,107106,1163,26,159,416,5117,644,3305,9177,87,67834,13641,1077,15417,1974,13058,,251462
Jul 20,1111273,447,126338,1400,31862,40999,611,6334,936,0,48238,4598,28795,20417,1611,12862,8824,108873,19171,431,0,18213,247357,1387,770,248,1234,24812,2760,10551,24075,564,155692,46364,3603,61969,4302,51629,,824926
Aug 20,1990350,2584,293838,2521,68771,85350,3295,22311,1218,0,39150,11505,34997,29767,3552,17339,30317,218308,51771,1277,0,32159,370423,3631,1545,603,2257,71659,10939,37873,39610,1013,182182,61750,6648,144953,12644,92590,,1437423
Sep 20,2622323,703,258713,5684,71770,46569,7592,82099,671,0,104967,16000,40959,63867,8860,37372,41995,259344,120722,1588,0,64082,591905,4731,3271,975,2213,115583,13133,59894,53599,1279,169561,66423,14087,168668,29173,94271,,1791387
Oct 20,1873041,497,129864,5056,25540,33858,2480,73668,206,0,106991,10208,35549,38611,7083,19715,18110,221645,236999,2001,0,43312,293960,7519,3765,736,2847,70997,7469,19772,61701,1009,126920,47246,4983,82781,13328,116615,,1330340
Nov 20,1279861,378,44716,1430,6425,18852,2991,50052,78,0,183668,4337,36836,66916,18459,15439,7390,61485,169877,2145,0,34769,145490,6543,2358,1103,2139,28609,1955,18433,71070,1051,57393,31184,1978,62025,12467,109820,,817280
Dec 20,823056,235,14222,437,3435,17176,2339,42253,37,0,54995,3103,35258,28199,14759,10747,5962,34599,157951,1051,0,35663,108216,3143,1598,379,741,10896,1164,14431,40180,899,36099,16538,569,41078,16125,68579,,570074
Jan 21,472317,49,5550,109,930,7927,1177,25792,16,0,9727,2343,16502,5572,2259,3535,3579,19891,168245,254,87,13321,94287,880,356,168,167,5451,936,6754,9248,201,20326,8115,86,15333,5209,17935,,371315
Feb 21,353427,26,2080,8,396,1815,845,7193,8,0,4193,1577,8349,2887,1109,1935,1257,11864,130225,98,295,6654,128671,203,198,51,106,2119,657,8900,2845,55,13202,4338,57,3228,863,5120,,315372
Mar 21,1108656,63,12073,9,875,2993,5229,36627,240,0,23141,3053,37809,20016,4960,4519,4252,45753,65181,339,341,33745,657910,123,103,50,140,3726,1743,57558,12813,90,35131,9082,86,13667,3419,11797,,959930
Apr 21,6936345,866,199701,1575,34711,204790,15648,379513,3898,0,486903,33013,260079,197178,35682,45123,109209,526138,446599,3812,2044,267816,1789492,2186,2781,1546,1636,103277,17154,131239,264852,1717,280083,127717,1676,635130,80110,241451,,4585021
May 21,9016687,1056,591395,8853,158093,236444,17399,242763,2619,0,276907,64614,241392,268657,91043,114382,104363,1081289,955396,4693,5310,216703,1144420,19165,18752,6068,7704,320803,45831,196634,341957,7365,929760,142745,15964,439164,148973,548011,,6601709
Jun 21,2236883,462,196428,8585,97268,15153,1624,23017,281,0,7948,11023,14354,12004,11793,25197,7836,239379,397586,1411,1693,9774,314512,19039,13915,7988,3559,144803,12796,28002,12464,5227,383180,45159,14637,14619,10761,123406,,1743681
Jul 21,1243973,70,76662,12265,57714,2921,283,7528,90,0,2077,4457,1354,1274,3904,5800,1563,61314,466595,265,419,2024,242311,28709,15487,17989,2633,67468,3666,3495,1245,6004,79901,21441,12591,2334,1884,28236,,969882
