,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,,12 states
Mar 20,46,0,0,0,0,1,0,0,0,0,2,0,6,0,1,2,0,3,2,0,0,5,10,0,0,0,0,0,0,4,0,0,1,6,0,0,0,3,,30
Apr 20,1107,0,31,0,1,1,0,0,0,0,57,0,208,4,1,6,3,19,2,0,0,133,448,0,1,0,0,1,0,16,58,0,26,22,0,40,0,30,,769
May 20,4252,0,31,0,2,21,4,1,0,0,414,0,824,16,4,20,2,29,6,0,0,213,1827,0,0,0,0,8,0,25,136,0,149,54,0,177,5,284,,2741
Jun 20,12005,0,125,1,8,45,2,12,0,0,2269,3,810,216,3,73,10,197,15,1,0,222,5569,0,0,0,0,23,12,99,219,0,1025,178,1,480,36,351,,8086
Jul 20,19155,5,1162,2,91,230,9,41,2,0,1221,42,592,185,4,276,91,2073,49,6,0,295,7139,5,4,0,4,182,37,242,267,1,2734,259,20,933,39,913,,15293
Aug 20,28879,41,2620,4,208,396,41,223,0,0,481,147,581,268,24,326,311,3388,221,27,0,527,9589,23,5,0,4,331,179,1067,376,2,3387,308,82,1856,189,1647,,23510
Sep 20,33273,7,1859,9,391,210,106,680,0,0,917,236,431,693,144,478,296,3162,448,24,0,922,12079,39,39,0,4,350,293,1953,430,34,2198,300,171,2298,342,1730,,25828
Oct 20,23437,6,862,21,233,186,64,1144,0,0,1150,176,266,407,131,297,171,2304,742,17,0,635,7249,101,39,1,21,478,71,797,421,31,1602,209,69,1241,412,1883,,17219
Nov 20,15509,2,302,17,52,174,51,760,0,0,2663,84,270,639,323,216,80,610,760,42,0,309,3240,113,23,4,25,419,18,604,405,41,590,122,24,736,208,1583,,9539
Dec 20,11359,1,116,2,64,133,40,510,0,0,1362,51,317,477,287,189,66,312,828,10,0,346,2370,74,28,3,15,134,23,534,384,18,410,83,15,591,278,1288,,7485
Jan 21,5410,0,45,0,37,104,17,330,0,0,317,29,81,113,45,53,42,127,671,3,0,204,1561,16,7,1,9,33,15,274,70,6,234,58,6,306,135,461,,3909
Feb 21,2766,0,16,0,10,40,18,134,0,0,57,27,23,30,15,21,18,114,454,0,1,54,1072,2,2,1,3,10,20,217,21,2,140,35,0,66,48,95,,2268
Mar 21,5766,0,48,0,13,35,27,335,0,0,117,35,109,107,53,37,23,236,424,0,0,122,2495,1,2,1,0,5,14,1036,31,0,223,63,1,87,25,61,,4871
Apr 21,48879,5,775,3,202,984,99,4411,2,0,5120,338,2664,1061,449,289,1547,2956,687,13,3,1630,14164,31,21,4,13,122,123,2154,1421,12,1327,564,4,3759,907,1015,,28623
May 21,120072,48,2938,56,2058,2603,275,4467,0,0,8090,1481,2650,4087,1643,1624,2331,13567,3507,46,29,2451,26531,402,407,25,259,711,731,5528,4146,106,10186,1020,117,7927,3828,4197,,81384
Jun 21,67578,13,1776,57,1174,4425,55,391,0,0,740,405,226,1128,336,416,122,5950,4420,13,15,902,26601,343,260,53,132,1264,213,1502,536,54,8387,380,164,2094,864,2167,,58130
Jul 21,24895,1,671,57,721,55,3,85,0,0,76,93,17,204,42,55,15,1522,3546,5,2,1544,10846,406,247,55,71,1884,46,241,33,37,1457,141,78,165,46,428,,20589
