S. no.,District Name,Year,Jan,Feb,March,April,May,June,July,Aug,Sep,Oct,Nov,Dec,Total
,,,,,,,,,,,,,,,
1,Saharanpur,2019,2408,2542,2675,1571,1823,2261,2127,2108,2191,1949,2177,1925,25757
,,2020,2569,1789,861,189,877,2411,2499,2330,3005,2365,1791,2418,23104
,,2021,2624,2245,1420,1407,,,,,,,,,7696
,,,,,,,,,,,,,,,
2,Muzaffarnagar,2019,1230,649,896,772,950,2259,3126,2990,3420,3712,4092,4375,28471
,,2020,4456,476,774,225,692,1919,1924,1830,2019,1798,1462,1723,19298
,,2021,1815,3392,1157,916,,,,,,,,,7280
,,,,,,,,,,,,,,,
3,Shamli,2019,0,0,0,0,141,0,0,0,0,0,0,0,141
,,2020,153,32,36,0,0,0,0,882,0,0,0,876,1979
,,2021,940,717,764,423,,,,,,,,,2844
,,,,,,,,,,,,,,,
4,Bijnor,2019,2044,2081,2055,1960,1940,1753,1758,1554,1563,1562,1579,1590,21439
,,2020,2355,2147,2160,1246,983,1117,1040,950,970,1856,1796,2023,18643
,,2021,2230,2599,2543,2588,,,,,,,,,9960
,,,,,,,,,,,,,,,
5,Moradabad,2019,906,861,1060,898,1051,950,889,1072,1012,907,936,1007,11549
,,2020,1396,1328,1283,319,659,319,1761,2060,1870,1610,1356,2425,16386
,,2021,2194,1686,0,989,,,,,,,,,4869
,,,,,,,,,,,,,,,
6,Rampur,2019,845,1108,1197,733,779,801,659,811,811,811,858,921,10334
,,2020,1421,223,338,123,302,968,1125,1139,1367,1411,1028,1122,10567
,,2021,1448,1220,894,609,,,,,,,,,4171
,,,,,,,,,,,,,,,
7,Amroha,2019,494,548,548,456,547,474,646,819,631,501,596,546,6806
,,2020,774,1043,545,24,71,671,692,1270,1106,822,972,932,8922
,,2021,1706,1004,207,248,,,,,,,,,3165
,,,,,,,,,,,,,,,
8,Shambhal,2019,446,429,435,294,379,391,447,422,517,504,185,189,4638
,,2020,1486,347,242,294,422,587,591,1126,647,555,472,538,7307
,,2021,657,467,799,843,,,,,,,,,2766
,,,,,,,,,,,,,,,
